Letter,ID,P1,P2,Cell,Sex,X,Y,Age,Animal,Synapses,Treatment,Category,Time
AA,24605002.abf,-89.81002045,-40.98189545,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,3.75
AA,24605002.abf,-98.68421173,-26.66272545,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,3.833333333
AA,24605002.abf,-38.57261276,-29.41733932,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,3.916666667
AA,24605002.abf,-71.0015564,-47.19784546,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,4
AA,24605002.abf,-61.77400208,-31.86677551,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,4.083333333
AA,24605002.abf,-29.89116478,-73.83647919,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,4.166666667
AA,24605002.abf,-76.67140198,-30.28468132,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,4.25
AA,24605002.abf,-44.55566406,-35.40039063,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,4.333333333
AA,24605002.abf,-36.82989883,-40.49200821,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,4.416666667
AA,24605002.abf,-55.38137436,-32.18801498,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,4.5
AA,24605002.abf,-63.96644974,-32.22816849,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,4.583333333
AA,24605002.abf,-78.96824646,-29.5297718,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,4.666666667
AA,24605002.abf,-43.75257111,-63.28382111,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,4.75
AA,24605002.abf,-54.22491837,-32.86261368,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,4.833333333
AA,24605002.abf,-80.56640625,-84.22851563,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,4.916666667
AA,24605003.abf,-83.49770355,-32.22816849,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,5
AA,24605003.abf,-54.29719543,-48.80403137,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,5.083333333
AA,24605003.abf,-32.53334427,-63.66127396,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,5.166666667
AA,24605003.abf,-81.87545013,-26.33345795,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,5.25
AA,24605003.abf,-89.73773956,-42.74067307,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,5.333333333
AA,24605003.abf,-65.37186432,-27.53006744,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,5.416666667
AA,24605003.abf,-79.65087891,-25.93994141,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,5.5
AA,24605003.abf,-28.71061707,-35.42448425,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,5.583333333
AA,24605003.abf,-59.92688751,-76.4063797,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,5.666666667
AA,24605003.abf,-53.45394897,-28.429533,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,5.75
AA,24605003.abf,-25.25731087,-95.44773865,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,5.833333333
AA,24605003.abf,-35.45660782,-61.70172501,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,5.916666667
AA,24605003.abf,-35.69753647,-71.70827484,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,6
